grid	laterality	region	flipped_laterality	flipped_region
Grid_Circle_Macula_ETDRS.xml	OD	1	OD	1
Grid_Circle_Macula_ETDRS.xml	OD	2	OD	2
Grid_Circle_Macula_ETDRS.xml	OD	3	OD	3
Grid_Circle_Macula_ETDRS.xml	OD	4	OD	4
Grid_Circle_Macula_ETDRS.xml	OD	5	OD	5
Grid_Circle_Macula_ETDRS.xml	OD	6	OD	6
Grid_Circle_Macula_ETDRS.xml	OD	7	OD	7
Grid_Circle_Macula_ETDRS.xml	OD	8	OD	8
Grid_Circle_Macula_ETDRS.xml	OD	9	OD	9
Grid_Circle_Macula_ETDRS.xml	OS	1	OD	1
Grid_Circle_Macula_ETDRS.xml	OS	2	OD	4
Grid_Circle_Macula_ETDRS.xml	OS	3	OD	3
Grid_Circle_Macula_ETDRS.xml	OS	4	OD	2
Grid_Circle_Macula_ETDRS.xml	OS	5	OD	5
Grid_Circle_Macula_ETDRS.xml	OS	6	OD	8
Grid_Circle_Macula_ETDRS.xml	OS	7	OD	7
Grid_Circle_Macula_ETDRS.xml	OS	8	OD	6
Grid_Circle_Macula_ETDRS.xml	OS	9	OD	9
Grid_Circle_Macula_ETDRS.xml	OD	1	OS	1
Grid_Circle_Macula_ETDRS.xml	OD	4	OS	2
Grid_Circle_Macula_ETDRS.xml	OD	3	OS	3
Grid_Circle_Macula_ETDRS.xml	OD	2	OS	4
Grid_Circle_Macula_ETDRS.xml	OD	5	OS	5
Grid_Circle_Macula_ETDRS.xml	OD	8	OS	6
Grid_Circle_Macula_ETDRS.xml	OD	7	OS	7
Grid_Circle_Macula_ETDRS.xml	OD	6	OS	8
Grid_Circle_Macula_ETDRS.xml	OD	9	OS	9
Grid_Circle_Macula_ETDRS.xml	OS	1	OS	1
Grid_Circle_Macula_ETDRS.xml	OS	2	OS	2
Grid_Circle_Macula_ETDRS.xml	OS	3	OS	3
Grid_Circle_Macula_ETDRS.xml	OS	4	OS	4
Grid_Circle_Macula_ETDRS.xml	OS	5	OS	5
Grid_Circle_Macula_ETDRS.xml	OS	6	OS	6
Grid_Circle_Macula_ETDRS.xml	OS	7	OS	7
Grid_Circle_Macula_ETDRS.xml	OS	8	OS	8
Grid_Circle_Macula_ETDRS.xml	OS	9	OS	9
